Entity,Code,Year,Final to primary energy ratio (%)
Albania,ALB,1990,83.9560003538846
Albania,ALB,1991,89.0239092582764
Albania,ALB,1992,93.6183671165349
Albania,ALB,1993,81.2879929903679
Albania,ALB,1994,78.3843371703192
Albania,ALB,1995,76.7694514960536
Albania,ALB,1996,75.7975301543591
Albania,ALB,1997,72.3919625382694
Albania,ALB,1998,72.6922159236426
Albania,ALB,1999,87.9512717283499
Albania,ALB,2000,87.7080663923352
Albania,ALB,2001,88.7032285640437
Albania,ALB,2002,89.6274289132538
Albania,ALB,2003,88.4748314911927
Albania,ALB,2004,92.8046945951913
Albania,ALB,2005,89.7413854604736
Albania,ALB,2006,87.6021234926965
Albania,ALB,2007,88.1975137196285
Albania,ALB,2008,88.4337937377307
Albania,ALB,2009,92.7916734812803
Albania,ALB,2010,94.2464034416305
Algeria,DZA,1990,57.3507910038787
Algeria,DZA,1991,58.2790805657071
Algeria,DZA,1992,58.3284350080339
Algeria,DZA,1993,59.6577689256399
Algeria,DZA,1994,57.6685749487864
Algeria,DZA,1995,55.4291416659371
Algeria,DZA,1996,56.0145399791376
Algeria,DZA,1997,54.8374826949354
Algeria,DZA,1998,54.3570367592233
Algeria,DZA,1999,56.171724048352
Algeria,DZA,2000,57.0808773045161
Algeria,DZA,2001,57.2988685013638
Algeria,DZA,2002,58.8835947700956
Algeria,DZA,2003,59.9588661603057
Algeria,DZA,2004,61.2800094764527
Algeria,DZA,2005,63.7731982370331
Algeria,DZA,2006,61.0271519429036
Algeria,DZA,2007,62.6850379733351
Algeria,DZA,2008,63.8090241729327
Algeria,DZA,2009,66.0102142437063
Algeria,DZA,2010,66.963718347939
Angola,AGO,1990,77.0119462001613
Angola,AGO,1991,77.4263657667648
Angola,AGO,1992,77.8648201737884
Angola,AGO,1993,78.3323745108473
Angola,AGO,1994,77.8266791763908
Angola,AGO,1995,77.3836244772776
Angola,AGO,1996,77.483931756052
Angola,AGO,1997,76.8560595303581
Angola,AGO,1998,76.7205876496755
Angola,AGO,1999,76.6910586251014
Angola,AGO,2000,76.4467624848448
Angola,AGO,2001,76.1402694144843
Angola,AGO,2002,76.5476890013682
Angola,AGO,2003,77.6562555795663
Angola,AGO,2004,79.6070666190008
Angola,AGO,2005,77.7369256547522
Angola,AGO,2006,79.5170733530964
Angola,AGO,2007,79.8318522372447
Angola,AGO,2008,80.4252599180315
Angola,AGO,2009,78.9518517483677
Angola,AGO,2010,79.9406106046996
Argentina,ARG,1990,65.2616932961398
Argentina,ARG,1991,65.1498858407418
Argentina,ARG,1992,65.0220869845199
Argentina,ARG,1993,71.5855155583802
Argentina,ARG,1994,75.4557362094165
Argentina,ARG,1995,77.6285951559987
Argentina,ARG,1996,78.6184481151222
Argentina,ARG,1997,77.1236101798968
Argentina,ARG,1998,79.2250546378345
Argentina,ARG,1999,78.2858431020326
Argentina,ARG,2000,77.6314078288814
Argentina,ARG,2001,78.7961563629163
Argentina,ARG,2002,78.4110397052399
Argentina,ARG,2003,79.3937629930701
Argentina,ARG,2004,72.1466151118824
Argentina,ARG,2005,74.6112794817124
Argentina,ARG,2006,72.8154190910137
Argentina,ARG,2007,72.9841454988862
Argentina,ARG,2008,71.2173166532273
Argentina,ARG,2009,69.9689903114271
Argentina,ARG,2010,71.9940847390572
Armenia,ARM,1990,83.9763690229796
Armenia,ARM,1991,76.0272419812575
Armenia,ARM,1992,72.0575370295842
Armenia,ARM,1993,86.059576199332
Armenia,ARM,1994,78.5733887740433
Armenia,ARM,1995,69.5469975713143
Armenia,ARM,1996,39.8534452942607
Armenia,ARM,1997,52.4803353131143
Armenia,ARM,1998,51.2372846290872
Armenia,ARM,1999,51.8682227977576
Armenia,ARM,2000,54.6827247432471
Armenia,ARM,2001,55.6115709988571
Armenia,ARM,2002,58.5349639505699
Armenia,ARM,2003,64.4778479478173
Armenia,ARM,2004,69.2253998559247
Armenia,ARM,2005,68.1316389876221
Armenia,ARM,2006,69.4450685197121
Armenia,ARM,2007,70.5191045298071
Armenia,ARM,2008,73.86212529321
Armenia,ARM,2009,73.6028965554097
Armenia,ARM,2010,73.0962921086352
Australia,AUS,1990,65.581303551106
Australia,AUS,1991,65.8843613892189
Australia,AUS,1992,65.2822294515413
Australia,AUS,1993,64.4037811254394
Australia,AUS,1994,65.7891516697395
Australia,AUS,1995,67.1404947862715
Australia,AUS,1996,64.7586006856449
Australia,AUS,1997,64.7390616724279
Australia,AUS,1998,64.1065101601067
Australia,AUS,1999,63.7217037261207
Australia,AUS,2000,64.3460646774247
Australia,AUS,2001,66.360365489035
Australia,AUS,2002,63.7076282336431
Australia,AUS,2003,63.6066239201236
